Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
53-6051,Transportation Inspectors,detail,"24,420",2.50%,0.165,$38.26 ,$38.35 ,"$79,770 ",0.80%
53-6061,Passenger Attendants,detail,"13,200",5.10%,0.089,$16.65 ,$17.42 ,"$36,230 ",2.20%
53-6099,"Transportation Workers, All Other",detail,"11,590",5.30%,0.078,$17.99 ,$19.37 ,"$40,290 ",1.70%
53-7000,Material Moving Workers,minor,"7,896,560",0.20%,53.396,$17.15 ,$17.92 ,"$37,270 ",0.30%
53-7011,Conveyor Operators and Tenders,detail,"27,780",2.80%,0.188,$17.74 ,$19.26 ,"$40,060 ",0.50%
53-7021,Crane and Tower Operators,detail,"45,210",5.70%,0.306,$29.49 ,$31.36 ,"$65,220 ",1.30%
53-7031,Dredge Operators,detail,940,11.10%,0.006,$22.64 ,$24.89 ,"$51,770 ",2.40%
53-7041,Hoist and Winch Operators,detail,"2,440",8.20%,0.017,$28.34 ,$33.23 ,"$69,120 ",5.30%
53-7051,Industrial Truck and Tractor Operators,detail,"780,890",0.60%,5.28,$19.82 ,$20.79 ,"$43,240 ",0.30%
53-7060,Laborers and Material Movers,broad,"6,840,530",0.20%,46.255,$16.77 ,$17.33 ,"$36,050 ",0.40%
53-7061,Cleaners of Vehicles and Equipment,detail,"359,530",0.90%,2.431,$14.90 ,$15.74 ,"$32,730 ",0.40%
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detail,"2,934,050",0.40%,19.84,$17.36 ,$18.03 ,"$37,510 ",0.40%
53-7063,Machine Feeders and Offbearers,detail,"51,010",1.90%,0.345,$18.29 ,$18.80 ,"$39,100 ",0.60%
53-7064,"Packers and Packagers, Hand",detail,"653,870",0.80%,4.421,$15.83 ,$16.02 ,"$33,310 ",0.40%
53-7065,Stockers and Order Fillers,detail,"2,842,060",0.30%,19.218,$16.45 ,$17.09 ,"$35,550 ",0.40%
53-7070,Pumping Station Operators,broad,"29,160",4.30%,0.197,$28.93 ,$30.11 ,"$62,620 ",1.90%
53-7071,Gas Compressor and Gas Pumping Station Operators,detail,"3,740",6.60%,0.025,$28.84 ,$29.57 ,"$61,500 ",1.80%
53-7072,"Pump Operators, Except Wellhead Pumpers",detail,"10,870",6.50%,0.074,$26.86 ,$28.44 ,"$59,150 ",2.00%
53-7073,Wellhead Pumpers,detail,"14,550",6.20%,0.098,$30.42 ,$31.50 ,"$65,510 ",2.70%
53-7081,Refuse and Recyclable Material Collectors,detail,"132,240",1.30%,0.894,$20.94 ,$21.91 ,"$45,560 ",0.60%
53-7121,"Tank Car, Truck, and Ship Loaders",detail,"12,470",5.60%,0.084,$25.93 ,$28.21 ,"$58,680 ",2.30%
53-7199,"Material Moving Workers, All Other",detail,"24,880",2.90%,0.168,$18.65 ,$20.81 ,"$43,290 ",1.00%
